season,team_id,player,per,bpm,ws,champion,per_z,bpm_z,ws_z,Composite
1992,BOS,Stojko Vranković,37.2,25.6,0.0,False,2.311116166614485,2.235668845645948,-0.5908995790021231,1.31862847775277
1992,CHI,Michael Jordan,27.2,9.9,4.1,True,1.380891061000177,0.9042914464191402,5.241832415792,2.5090049744037723
1992,CLE,Brad Daugherty,20.3,4.3,2.7,False,0.7390357381263046,0.4294052403255018,3.2501678322037635,1.4728696035518567
1992,DET,Brad Sellers,24.5,13.7,0.1,False,1.1297302824843138,1.2265356576969662,-0.4486378230315347,0.6358760390499151
1992,GSW,Mario Elie,25.1,7.7,0.3,False,1.1855437888211724,0.7177290083109251,-0.1641143110903579,0.5797194953472465
1992,IND,Kenny Williams,49.9,48.6,0.0,False,3.4925020507446556,4.186094334959105,-0.5908995790021231,2.3625656022338792
1992,LAC,Loy Vaught,25.4,11.8,0.2,False,1.2134505419896016,1.0654135520580532,-0.3063760670609463,0.6574960089955694
1992,LAL,Byron Scott,19.3,6.5,0.5,False,0.6460132275648738,0.6159676784337168,0.1204092008508189,0.4607967022831365
1992,MIA,Steve Smith,20.7,8.4,0.3,False,0.7762447423508768,0.77708978407263,-0.1641143110903579,0.46307340511104966
1992,NJN,Derrick Coleman,20.4,5.8,0.4,False,0.7483379891824475,0.5566069026720121,-0.021852555119769468,0.42769744557823003
1992,NYK,Patrick Ewing,19.9,5.2,1.7,False,0.7018267339017321,0.505726237733408,1.8275502724978796,1.0117010813776732
1992,PHO,Kevin Johnson,21.3,5.4,1.2,False,0.8320582486877354,0.5226864593796093,1.1162414926449375,0.823662066904094
1992,POR,Clyde Drexler,22.8,7.8,3.4,False,0.9715920145298816,0.7262091191340257,4.246000123997882,1.9812670858872632
1992,SAS,Antoine Carr,21.0,3.0,0.3,False,0.8041514955193061,0.3191637996251929,-0.1641143110903579,0.3197336613513803
1992,SEA,Marty Conlon,67.7,18.4,0.0,False,5.148302738738124,1.6251008663826982,-0.5908995790021231,2.0608346753729
1992,UTA,Karl Malone,25.0,6.5,3.2,False,1.1762415377650293,0.6159676784337168,3.9614766120567055,1.9178952760851506
1993,ATL,Greg Foster,29.4,2.5,0.0,False,1.5855405842353245,0.2767632455096895,-0.5908995790021231,0.42380141691429696
1993,BOS,Reggie Lewis,48.4,16.8,0.1,False,3.3529682849025098,1.4894190932130875,-0.4486378230315347,1.4645831850280207
1993,CHH,Larry Johnson,18.4,3.0,1.3,False,0.562292968059586,0.3191637996251929,1.258503248615526,0.713320005433435
1993,CHI,Michael Jordan,30.1,11.6,4.4,True,1.6506563416283262,1.0484533304118517,5.668617683703767,2.789242451914648
1993,CLE,Larry Nance,20.6,5.1,1.4,False,0.7669424912947339,0.49724612691030723,1.4007650045861144,0.8883178742637186
1993,HOU,Hakeem Olajuwon,26.7,9.1,2.4,False,1.3343798057194616,0.8364505598343347,2.823382564291998,1.6647376432819314
1993,IND,Greg Dreiling,32.4,18.9,0.0,False,1.8646081159196168,1.6675014204982017,-0.5908995790021231,0.9804033191385653
1993,LAC,Lester Conner,20.2,9.6,0.4,False,0.7297334870701614,0.8788511139498381,-0.021852555119769468,0.5289106819667434
1993,LAL,Vlade Divac,23.8,9.9,0.6,False,1.0646145250913124,0.9042914464191402,0.26267095682140723,0.7438589761106199
1993,NJN,Derrick Coleman,25.6,9.6,1.2,False,1.2320550441018878,0.8788511139498381,1.1162414926449375,1.0757158835655545
1993,NYK,Patrick Ewing,21.6,4.5,1.9,False,0.8599650018561648,0.4463654619717032,2.112073784439056,1.1394680827556414
1993,PHO,Charles Barkley,24.9,6.9,4.6,False,1.1669392867088861,0.6498881217261196,5.9531411956449425,2.589989534693316
1993,POR,Jerome Kersey,24.4,8.3,0.6,False,1.1204280314281707,0.7686096732495293,0.26267095682140723,0.7172362204997024
1993,SAS,David Robinson,21.6,6.1,1.5,False,0.8599650018561648,0.5820472351413141,1.5430267605567027,0.9950129991847273
1993,SEA,Shawn Kemp,21.3,4.3,2.4,False,0.8320582486877354,0.4294052403255018,2.823382564291998,1.3616153511017453
1993,UTA,John Crotty,79.8,57.9,0.0,False,6.273875116531437,4.974744641507468,-0.5908995790021231,3.552573393012261
1994,ATL,Danny Manning,19.6,4.2,1.5,False,0.6739199807333032,0.42092512950240113,1.5430267605567027,0.879290623597469
1994,CHI,Horace Grant,21.2,5.4,1.7,False,0.8227559976315922,0.5226864593796093,1.8275502724978796,1.0576642431696939
1994,CLE,Chris Mills,23.0,7.2,0.4,False,0.9901965166421677,0.6753284541954216,-0.021852555119769468,0.5478908052392734
1994,DEN,Dikembe Mutombo,17.8,3.8,1.3,False,0.5064794617227276,0.3870046862099984,1.258503248615526,0.7173291321827507
1994,GSW,Chris Webber,22.1,6.5,0.2,False,0.9064762571368801,0.6159676784337168,-0.3063760670609463,0.40535595616988357
1994,HOU,Hakeem Olajuwon,27.7,8.5,4.3,True,1.4274023162808924,0.7855698948957306,5.526355927733177,2.5797760463032664
1994,IND,Reggie Miller,21.9,7.5,2.8,False,0.8878717550245937,0.7007687866647238,3.3924295881743514,1.6603567099545564
1994,MIA,Bimbo Coles,19.6,4.8,0.5,False,0.6739199807333032,0.47180579444100523,0.1204092008508189,0.42204499200837575
1994,NJN,Rex Walters,87.5,51.4,0.0,False,6.990148447854454,4.423537438005924,-0.5908995790021231,3.607595435619418
1994,NYK,Patrick Ewing,20.6,4.4,3.2,False,0.7669424912947339,0.4378853511486025,3.9614766120567055,1.7221014848333471
