season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,mp,obpm,orb_pct,ows,per,stl_pct,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48,champion
2022,Jae Crowder,PF,31,PHO,13,13.0,29.5,3.2,8.1,0.4,1.5,4.8,0.302,1.8,3.2,0.548,0.49,1.5,2.0,0.731,0.6,4.1,4.7,2.4,1.0,0.5,1.5,3.6,9.4,10.8,1.8,-0.9,1.4,16.0,0.2,0.6,0.248,383.0,-2.2,2.6,0.0,9.8,1.8,14.0,9.5,0.524,16.3,0.1,0.2,0.029,False
2022,Kevin Durant,PF,33,BRK,4,4.0,44.0,8.0,20.8,0.386,1.8,5.3,0.333,6.3,15.5,0.403,0.428,8.5,9.5,0.895,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3,22.3,0.5,-2.9,-3.3,15.7,-0.1,0.253,0.458,176.0,0.4,1.5,0.0,13.6,1.2,17.4,8.5,0.526,31.5,0.0,-0.1,-0.026,False
2022,Andre Drummond,C,28,BRK,4,4.0,15.0,1.5,2.8,0.545,0.0,0.0,,1.5,2.8,0.545,0.545,0.8,1.3,0.6,0.8,2.3,3.0,0.8,1.3,0.8,1.5,3.0,3.8,7.0,4.8,-3.2,1.7,19.7,0.1,0.0,0.455,60.0,-4.9,6.5,-0.1,10.0,4.3,31.3,13.1,0.568,14.7,0.0,0.0,-0.012,False
2022,Goran Dragić,PG,35,BRK,4,0.0,19.8,4.5,8.0,0.563,1.0,3.0,0.333,3.5,5.0,0.7,0.625,0.5,0.5,1.0,1.5,3.0,4.5,1.5,0.8,0.0,1.3,2.8,10.5,12.9,0.0,1.1,-0.1,20.0,0.0,0.375,0.063,79.0,1.1,9.9,0.2,19.3,1.9,13.2,14.9,0.639,22.0,0.1,0.2,0.106,False
2022,Ayo Dosunmu,SG,22,CHI,5,1.0,17.2,1.6,5.2,0.308,0.6,2.6,0.231,1.0,2.6,0.385,0.365,0.2,0.2,1.0,0.8,1.8,2.6,2.2,0.2,0.0,0.6,1.0,4.0,19.2,0.0,-5.3,-1.4,11.4,0.1,0.5,0.038,86.0,-3.9,4.3,-0.1,6.0,0.6,10.2,7.6,0.378,15.0,-0.1,-0.1,-0.029,False
2022,Luka Dončić,PG,22,DAL,15,15.0,36.8,10.7,23.5,0.455,3.4,9.9,0.345,7.3,13.6,0.534,0.527,6.9,9.0,0.77,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7,37.3,1.5,9.3,2.5,29.7,0.8,0.42,0.384,552.0,6.8,2.1,1.1,28.6,2.5,12.5,15.7,0.577,40.4,1.6,1.9,0.164,False
2022,Spencer Dinwiddie,SG,28,DAL,18,3.0,27.8,4.4,10.7,0.417,2.2,5.3,0.417,2.2,5.3,0.417,0.521,3.1,3.7,0.821,0.4,2.0,2.4,3.6,0.8,0.3,1.6,2.3,14.2,21.8,1.1,1.4,-0.5,8.6,0.2,0.5,0.349,501.0,1.8,1.9,0.8,16.6,1.6,11.6,5.2,0.576,23.7,0.4,1.1,0.101,False
2022,Gorgui Dieng,C,32,ATL,2,0.0,5.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,-1.3,-3.2,24.6,0.0,0.5,0.5,10.0,1.9,11.9,0.0,15.4,0.0,0.0,18.1,0.615,11.2,0.0,0.0,0.149,False
2022,DeMar DeRozan,PF,32,CHI,5,5.0,40.6,7.8,19.0,0.411,0.0,1.8,0.0,7.8,17.2,0.453,0.411,5.2,6.0,0.867,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8,20.9,1.0,-0.8,0.5,14.0,0.3,0.095,0.316,203.0,-1.3,0.5,-0.2,13.4,2.1,9.2,6.7,0.481,25.7,0.1,0.1,0.019,False
2022,Dewayne Dedmon,C,32,MIA,14,0.0,9.9,1.5,3.2,0.467,0.1,0.7,0.1,1.4,2.5,0.571,0.478,0.7,0.9,0.833,1.1,1.9,3.0,0.4,0.1,0.2,0.5,2.6,3.8,5.7,2.4,-6.2,-0.4,23.9,0.2,0.222,0.267,138.0,-5.8,12.4,0.1,11.2,0.4,12.2,17.9,0.527,18.5,-0.1,0.3,0.104,False
