player,season,fg3_per_g,fg3a_per_g,fg3_pct,champion
Jordan Clarkson,2020,2.4,7.0,0.347,False
Gary Clark,2020,2.2,6.4,0.344,False
Chris Chiozza,2020,1.3,4.0,0.313,False
Tyson Chandler,2020,0.0,0.0,0.0,False
Alex Caruso,2020,0.8,2.9,0.279,True
DeMarre Carroll,2020,0.0,0.0,0.0,False
Stanley Johnson,2020,0.7,1.7,0.4,False
Rodions Kurucs,2020,0.0,2.0,0.0,False
Nikola Jokić,2020,2.2,5.2,0.429,False
Terrence Ross,2020,2.0,6.0,0.333,False
Garrett Temple,2020,2.3,9.0,0.25,False
Jayson Tatum,2020,2.8,7.4,0.373,False
Edmond Sumner,2020,0.0,1.0,0.0,False
J.R. Smith,2020,0.6,2.2,0.273,True
Marcus Smart,2020,2.4,7.2,0.333,False
Anfernee Simons,2020,1.5,3.5,0.429,False
Pascal Siakam,2020,0.9,4.8,0.189,False
Landry Shamet,2020,1.2,3.2,0.357,False
Mike Scott,2020,0.0,0.5,0.0,False
Dennis Schröder,2020,1.9,6.4,0.289,False
JaKarr Sampson,2020,0.0,0.0,0.0,False
Rajon Rondo,2020,1.3,3.1,0.4,True
Patrick Patterson,2020,1.5,1.5,1.0,False
Duncan Robinson,2020,3.0,7.4,0.397,False
Andre Roberson,2020,0.0,1.0,0.0,False
Austin Rivers,2020,0.8,2.9,0.257,False
Josh Richardson,2020,2.5,7.0,0.357,False
Josh Reaves,2020,0.0,0.5,0.0,False
Norman Powell,2020,2.0,4.7,0.423,False
Kristaps Porziņģis,2020,3.0,5.7,0.529,False
Michael Porter Jr.,2020,1.8,4.7,0.382,False
Vincent Poirier,2020,0.0,0.0,0.0,False
Mason Plumlee,2020,0.0,0.1,0.0,False
Norvel Pelle,2020,0.0,0.0,0.0,False
Daniel Theis,2020,0.2,1.5,0.154,False
Lance Thomas,2020,0.0,0.7,0.0,False
Matt Thomas,2020,0.5,1.2,0.417,False
Matisse Thybulle,2020,0.3,1.0,0.25,False
Derrick Jones Jr.,2020,0.3,0.6,0.444,False
Delon Wright,2020,0.3,0.5,0.5,False
Nigel Williams-Goss,2020,0.0,0.0,0.0,False
Robert Williams,2020,0.0,0.1,0.0,False
Marvin Williams,2020,1.0,2.3,0.435,False
Lou Williams,2020,0.9,3.9,0.235,False
Grant Williams,2020,0.6,1.0,0.588,False
Hassan Whiteside,2020,0.2,0.2,1.0,False
Russell Westbrook,2020,1.0,4.1,0.242,False
Paul Watson,2020,0.0,0.0,0.0,False
Tremont Waters,2020,0.0,1.0,0.0,False
