season,team_id,Attempts,Percentage,Champion
2000,PHI,13.0,0.2335,False
2000,PHO,18.3,0.2207777777777778,False
2000,POR,14.9,0.346375,False
2000,SAC,18.6,0.3164444444444444,False
2000,SAS,11.399999999999999,0.17733333333333334,False
2000,SEA,16.7,0.287625,False
2000,TOR,15.6,0.2924285714285714,False
2000,UTA,12.8,0.465875,False
2001,CHH,13.5,0.27999999999999997,False
2001,DAL,19.0,0.377875,False
2001,IND,19.2,0.28055555555555556,False
2001,LAL,16.6,0.374625,True
2001,MIA,17.1,0.22757142857142856,False
2001,MIL,17.599999999999998,0.29683333333333334,False
2001,MIN,10.899999999999999,0.16633333333333333,False
2001,NYK,11.8,0.3376,False
2001,ORL,21.6,0.28600000000000003,False
2001,PHI,12.0,0.19555555555555557,False
2001,PHO,17.4,0.31985714285714284,False
2001,POR,21.1,0.25725000000000003,False
2001,SAC,15.3,0.27588888888888885,False
2001,SAS,17.4,0.31481818181818183,False
2001,TOR,16.3,0.34014285714285714,False
2001,UTA,11.8,0.35144444444444445,False
2002,BOS,24.4,0.40825,False
2002,CHH,13.100000000000001,0.15985714285714286,False
2002,DAL,23.7,0.2887777777777778,False
2002,DET,22.8,0.270875,False
2002,IND,12.1,0.27675,False
2002,LAL,18.3,0.3621111111111111,True
2002,MIN,12.700000000000001,0.363,False
2002,NJN,15.2,0.158,False
2002,ORL,16.7,0.15171428571428572,False
2002,PHI,13.3,0.19716666666666668,False
2002,POR,18.0,0.3271428571428571,False
2002,SAC,18.0,0.2651428571428571,False
2002,SAS,14.7,0.303125,False
2002,SEA,13.5,0.44700000000000006,False
2002,TOR,10.899999999999999,0.40075,False
2002,UTA,11.8,0.22325,False
2003,BOS,24.8,0.251875,False
2003,DAL,24.8,0.30710000000000004,False
2003,DET,21.4,0.3001,False
2003,IND,20.8,0.22166666666666665,False
2003,LAL,22.400000000000002,0.3075555555555555,False
2003,MIL,17.0,0.2985,False
2003,MIN,14.2,0.3725714285714286,False
2003,NJN,13.8,0.3069,False
2003,NOH,19.7,0.4866,False
2003,ORL,16.3,0.241875,False
2003,PHI,11.0,0.22899999999999998,False
2003,PHO,15.8,0.4103333333333334,False
2003,POR,18.6,0.23522222222222222,False
2003,SAC,18.8,0.2982857142857143,False
2003,SAS,16.6,0.3712,True
2003,UTA,7.3,0.16114285714285717,False
2004,BOS,16.4,0.292,False
2004,DAL,17.4,0.25771428571428573,False
2004,DEN,13.799999999999999,0.26142857142857145,False
2004,DET,13.7,0.23010000000000003,True
2004,HOU,15.4,0.2733333333333334,False
2004,IND,18.8,0.2852,False
2004,LAL,15.9,0.24622222222222223,False
2004,MEM,13.0,0.21116666666666664,False
2004,MIA,13.6,0.24685714285714286,False
2004,MIL,15.100000000000001,0.2104285714285714,False
2004,MIN,16.8,0.302,False
2004,NJN,16.8,0.2118,False
2004,NOH,19.3,0.211125,False
2004,NYK,15.6,0.2085,False
2004,SAC,17.4,0.3057142857142857,False
2004,SAS,19.4,0.3051818181818182,False
2005,BOS,15.5,0.31075,False
2005,CHI,24.7,0.375,False
2005,DAL,19.0,0.2617,False
2005,DEN,9.5,0.18262499999999998,False
2005,DET,13.9,0.22414285714285714,False
2005,HOU,17.8,0.3798333333333333,False
2005,IND,18.9,0.28355555555555556,False
2005,MEM,20.5,0.4085,False
2005,MIA,16.1,0.2377142857142857,False
2005,NJN,21.6,0.255,False
2005,PHI,20.099999999999998,0.29075,False
2005,PHO,21.9,0.375375,False
2005,SAC,21.4,0.316375,False
2005,SAS,19.2,0.41290000000000004,True
2005,SEA,19.1,0.32625,False
2005,WAS,19.1,0.25285714285714284,False
2006,CHI,19.9,0.40371428571428575,False
2006,CLE,14.1,0.311,False
2006,DAL,16.599999999999998,0.227,False
2006,DEN,15.0,0.104,False
2006,DET,18.900000000000002,0.3206,False
2006,IND,22.1,0.24244444444444443,False
2006,LAC,12.1,0.314,False
2006,LAL,21.6,0.313875,False
2006,MEM,12.5,0.2585,False
2006,MIA,20.4,0.29762500000000003,True
2006,MIL,13.5,0.4243333333333334,False
2006,NJN,18.3,0.23199999999999998,False
2006,PHO,25.6,0.3433,False
2006,SAC,16.6,0.28757142857142853,False
2006,SAS,15.8,0.43254545454545457,False
2006,WAS,20.6,0.19685714285714287,False
2007,CHI,16.9,0.2517142857142857,False
2007,CLE,18.2,0.2015,False
2007,DAL,23.4,0.3558888888888889,False
2007,DEN,15.0,0.24350000000000002,False
2007,DET,17.099999999999998,0.1955,False
2007,GSW,31.2,0.284375,False
2007,HOU,22.9,0.18185714285714288,False
2007,LAL,20.4,0.3031111111111111,False
2007,MIA,17.9,0.25385714285714284,False
2007,NJN,22.2,0.344125,False
2007,ORL,8.3,0.4046,False
2007,PHO,20.1,0.2628888888888889,False
2007,SAS,20.7,0.24889999999999998,True
2007,TOR,15.1,0.2791111111111111,False
2007,UTA,13.1,0.236875,False
2007,WAS,20.7,0.2245714285714286,False
2008,ATL,13.499999999999998,0.206,False
2008,BOS,17.4,0.2021818181818182,True
2008,CLE,22.6,0.33166666666666667,False
2008,DAL,22.9,0.34255555555555556,False
2008,DEN,19.1,0.2662222222222222,False
2008,DET,15.0,0.34209999999999996,False
2008,HOU,22.9,0.22255555555555556,False
2008,LAL,19.2,0.35475,False
2008,NOH,15.100000000000001,0.3032222222222222,False
2008,ORL,27.1,0.24711111111111114,False
2008,PHI,7.8,0.1807142857142857,False
2008,PHO,15.600000000000001,0.23885714285714288,False
2008,SAS,21.1,0.3035,False
2008,TOR,24.3,0.27344444444444443,False
2008,UTA,17.7,0.23529999999999998,False
2008,WAS,20.9,0.226125,False
2009,ATL,19.7,0.2584,False
2009,BOS,19.2,0.264625,False
2009,CHI,22.5,0.37955555555555553,False
2009,CLE,20.1,0.32075,False
2009,DAL,21.0,0.33125,False
2009,DEN,21.599999999999998,0.24800000000000003,False
2009,DET,12.3,0.2642857142857143,False
2009,HOU,22.700000000000003,0.277,False
2009,LAL,19.1,0.4486666666666667,True
2009,MIA,20.5,0.34425,False
2009,NOH,19.8,0.249125,False
2009,ORL,27.200000000000003,0.3628,False
2009,PHI,15.9,0.35700000000000004,False
2009,POR,14.600000000000001,0.3298571428571429,False
2009,SAS,18.1,0.29200000000000004,False
2009,UTA,16.4,0.200625,False
2010,ATL,13.7,0.39166666666666666,False
2010,BOS,16.7,0.23672727272727273,False
2010,CHA,17.4,0.25342857142857145,False
2010,CHI,11.6,0.218625,False
2010,CLE,21.5,0.26066666666666666,False
2010,DAL,21.1,0.2587777777777778,False
2010,DEN,18.6,0.3125714285714286,False
2010,LAL,22.8,0.23381818181818181,True
2010,MIA,19.0,0.2734285714285714,False
2010,MIL,21.9,0.21322222222222223,False
2010,OKC,19.4,0.2215,False
2010,ORL,28.5,0.3111111111111111,False
2010,PHO,24.5,0.3105,False
2010,POR,18.8,0.36970000000000003,False
2010,SAS,15.1,0.34355555555555556,False
2010,UTA,18.8,0.4265555555555556,False
2011,ATL,16.0,0.21762499999999999,False
2011,BOS,16.1,0.22799999999999998,False
2011,CHI,19.7,0.3048,False
2011,DAL,23.2,0.3836666666666667,True
2011,DEN,20.0,0.3562857142857143,False
2011,IND,16.099999999999998,0.41488888888888886,False
2011,LAL,19.099999999999998,0.25060000000000004,False
2011,MEM,12.0,0.2988,False
2011,MIA,20.6,0.289625,False
2011,NOH,14.8,0.3338571428571429,False
2011,NYK,29.4,0.311,False
2011,OKC,22.5,0.3476666666666667,False
2011,ORL,26.4,0.2667777777777778,False
2011,PHI,18.0,0.28525,False
2011,POR,17.0,0.3515,False
2011,SAS,19.4,0.27314285714285713,False
2012,ATL,20.6,0.21200000000000002,False
2012,BOS,18.400000000000002,0.2173,False
2012,CHI,18.2,0.3566666666666667,False
2012,DAL,23.5,0.40990000000000004,False
2012,DEN,19.1,0.30866666666666664,False
2012,IND,18.6,0.404375,False
2012,LAC,17.2,0.323375,False
